region,gadm_province,gadm_municipality,is_city,income_class,population,land_area
REGION X,Bukidnon,Kitaotao,0.0,1st,49488.0,78878.0
REGION VIII,Leyte,Julita,0.0,5th,13307.0,5330.0
REGION IV-B,Oriental Mindoro,Naujan,0.0,1st,94497.0,50310.0
CAR,Abra,San Quintin,0.0,5th,5233.0,6659.0
REGION II,Isabela,Palanan,0.0,1st,16094.0,88024.0
REGION V,Masbate,Balud,0.0,4th,35841.0,23100.0
REGION IV-A,Batangas,San Nicolas,0.0,5th,20599.0,1437.0
REGION I,Pangasinan,Sison,0.0,3rd,43979.0,8188.0
REGION X,Misamis Oriental,Balingasag,0.0,2nd,65876.0,14711.0
REGION VIII,Northern Samar,Las Navas,0.0,4th,36539.0,28261.0
REGION VI,Iloilo,Estancia,0.0,2nd,42666.0,2938.0
REGION VI,Antique,Libertad,0.0,5th,15669.0,9700.0
REGION III,Aurora,Maria Aurora,0.0,2nd,38128.0,42619.0
REGION IV-A,Batangas,Santo Tomas,0.0,1st,124740.0,9541.0
REGION X,Bukidnon,Damulog,0.0,4th,25538.0,24419.0
REGION IX,Zamboanga del Norte,Katipunan,0.0,2nd,43339.0,24412.0
REGION II,Isabela,Santo Tomas,0.0,4th,21688.0,6070.0
REGION IV-A,Laguna,Magdalena,0.0,4th,22976.0,3488.0
ARMM,Lanao del Sur,Lumbaca Unayan,0.0,-,6279.0,4228.0
REGION XII,Sultan Kudarat,Kalamansig,0.0,1st,46408.0,69920.0
REGION IX,Zamboanga del Sur,Pitogo,0.0,4th,25502.0,9594.0
REGION IV-A,Rizal,Baras,0.0,4th,32609.0,8493.0
REGION V,Camarines Sur,Sipocot,0.0,1st,64042.0,24343.0
REGION IV-B,Palawan,Narra,0.0,1st,65264.0,83173.0
REGION IX,Zamboanga del Norte,Mutia,0.0,5th,11975.0,7358.0
REGION IV-A,Quezon,Guinayangan,0.0,3rd,41669.0,21412.0
REGION IV-B,Palawan,Coron,0.0,1st,42941.0,68910.0
REGION III,Nueva Ecija,Peñaranda,0.0,4th,27410.0,9500.0
REGION V,Camarines Sur,Del Gallego,0.0,4th,23064.0,20831.0
REGION X,Lanao del Norte,Baroy,0.0,4th,20948.0,7235.0
REGION XIII,Surigao del Sur,Madrid,0.0,4th,14888.0,14120.0
REGION II,Isabela,Quirino,0.0,4th,22285.0,12620.0
CAR,Benguet,Baguio City,1.0,1st Class-Special,"",5751.0
REGION III,Tarlac,Tarlac City,1.0,1st Class-Special,"",27466.0
REGION IX,Zamboanga del Norte,Sibutad,0.0,5th,16783.0,6557.0
REGION VIII,Leyte,Babatngon,0.0,4th,25575.0,11518.0
REGION III,Tarlac,La Paz,0.0,2nd,60982.0,11433.0
REGION IX,Zamboanga del Sur,Mahayag,0.0,3rd,45015.0,19490.0
NIR,Negros Occidental,Himamaylan City,1.0,3rd Class ,"",36704.0
REGION IX,Zamboanga Sibugay,Alicia,0.0,3rd,34895.0,18308.0
REGION II,Isabela,Cabagan,0.0,1st,45732.0,43040.0
REGION IV-A,Cavite,Dasmariñas,1.0,- ,"",9013.0
REGION VI,Iloilo,Mina,0.0,5th,21785.0,4340.0
REGION IV-A,Batangas,Talisay,0.0,3rd,39600.0,2820.0
