region,gadm_province,gadm_municipality,is_city,income_class,population,land_area
REGION I,Ilocos Norte,Batac City,1.0,5th Class ,"",16106.0
REGION III,Nueva Ecija,Aliaga,0.0,2nd,57805.0,9004.0
REGION I,La Union,Aringay,0.0,2nd,44949.0,8454.0
REGION IX,Zamboanga del Norte,Rizal,0.0,5th,14111.0,8003.0
REGION IV-A,Quezon,Tiaong,0.0,1st,91599.0,16838.0
ARMM,Sulu,Panglima Estino,0.0,5th,27724.0,12510.0
REGION I,La Union,San Gabriel,0.0,4th,16628.0,12987.0
REGION XIII,Surigao del Norte,Mainit,0.0,4th,25596.0,10776.0
REGION IV-A,Laguna,Majayjay,0.0,4th,26547.0,6958.0
REGION VIII,Northern Samar,San Vicente,0.0,6th,7447.0,1580.0
NIR,Negros Occidental,Sipalay City,1.0,4th Class ,"",37978.0
REGION VIII,Eastern Samar,Balangkayan,0.0,5th,9046.0,20705.0
REGION II,Cagayan,Aparri,0.0,1st,61199.0,28664.0
REGION IV-B,Oriental Mindoro,Socorro,0.0,3rd,38348.0,15138.0
REGION VI,Iloilo,Barotac Nuevo,0.0,2nd,51867.0,9449.0
REGION V,Camarines Sur,Pili,0.0,1st,82307.0,12625.0
REGION VIII,Southern Leyte,Hinunangan,0.0,3rd,28415.0,17058.0
CAR,Benguet,Buguias,0.0,3rd,39271.0,17588.0
REGION X,Misamis Oriental,Salay,0.0,4th,27591.0,9279.0
REGION IX,Zamboanga del Norte,Pinan,0.0,4th,20088.0,9375.0
CAR,Abra,San Juan,0.0,5th,10546.0,6408.0
REGION VIII,Samar,Jiabong,0.0,5th,17075.0,6770.0
REGION I,Pangasinan,Bolinao,0.0,1st,74545.0,19722.0
REGION VI,Iloilo,Pavia,0.0,2nd,43614.0,2715.0
REGION XII,North Cotabato,Pigkawayan,0.0,1st,59975.0,34011.0
NIR,Negros Occidental,Victorias City,1.0,4th Class ,"",13392.0
REGION II,Isabela,San Isidro,0.0,5th,22758.0,7190.0
REGION XI,Davao del Norte,Talaingod,0.0,2nd,25566.0,65683.0
REGION X,Misamis Oriental,Claveria,0.0,1st,44544.0,57963.0
ARMM,Basilan,Hadji Mohammad Ajul,0.0,-,15962.0,20250.0
REGION XIII,Agusan del Norte,Carmen,0.0,4th,19781.0,31102.0
REGION X,Misamis Oriental,Gitagum,0.0,5th,16098.0,4340.0
REGION IV-A,Cavite,Tanza,0.0,1st,188755.0,9559.0
REGION VII,Cebu,Ronda,0.0,5th,18582.0,5710.0
REGION V,Camarines Sur,Ragay,0.0,1st,54934.0,40022.0
REGION X,Misamis Occidental,Sinacaban,0.0,5th,18597.0,9909.0
REGION XII,North Cotabato,Pikit,0.0,1st,113014.0,60461.0
CAR,Ifugao,Mayoyao,0.0,4th,16413.0,23805.0
REGION V,Catanduanes,Caramoran,0.0,3rd,28063.0,26374.0
REGION I,Pangasinan,Asingan,0.0,2nd,56353.0,6664.0
REGION IX,Zamboanga Sibugay,Imelda,0.0,4th,27903.0,8512.0
REGION VIII,Leyte,Carigara,0.0,2nd,47444.0,11786.0
REGION III,Pampanga,Apalit,0.0,1st,101537.0,6147.0
CAR,Abra,Dolores,0.0,5th,11499.0,4745.0
REGION I,La Union,Santol,0.0,4th,12007.0,9370.0
REGION VII,Bohol,Sikatuna,0.0,5th,6380.0,3822.0
REGION IV-A,Laguna,Calamba City,1.0,1st Class-Special,"",14950.0
REGION VII,Cebu,Alcantara,0.0,5th,13556.0,3520.0
REGION II,Isabela,Mallig,0.0,4th,28345.0,13340.0
REGION XIII,Surigao del Norte,Socorro,0.0,4th,20304.0,11445.0
REGION IV-A,Quezon,Burdeos,0.0,4th,24166.0,19982.0
REGION V,Catanduanes,Bagamanoc,0.0,5th,11370.0,8074.0
REGION VIII,Samar,Calbiga,0.0,4th,21434.0,28370.0
REGION III,Zambales,San Felipe,0.0,4th,22020.0,11160.0
REGION IV-A,Cavite,Indang,0.0,1st,62030.0,7490.0
REGION V,Camarines Sur,San Jose,0.0,4th,38523.0,4307.0
REGION III,Nueva Ecija,Pantabangan,0.0,1st,27353.0,39256.0
REGION II,Batanes,Ivana,0.0,6th,1249.0,1654.0
REGION II,Nueva Vizcaya,Dupax Del Sur,0.0,2nd,18146.0,37470.0
REGION I,Ilocos Norte,Marcos,0.0,4th,16984.0,7277.0
REGION XII,North Cotabato,M'Lang,0.0,1st,87749.0,31213.0
REGION VIII,Northern Samar,Catarman,0.0,1st,84833.0,46443.0
REGION X,Lanao del Norte,Maigo,0.0,4th,20131.0,12145.0
REGION III,Zambales,Candelaria,0.0,3rd,25020.0,33359.0
REGION IV-A,Batangas,Ibaan,0.0,2nd,48482.0,6899.0
REGION V,Masbate,Baleno,0.0,4th,24401.0,20438.0
REGION I,Pangasinan,Urdaneta City,1.0,2nd Class ,"",10026.0
REGION I,Ilocos Norte,San Nicolas,0.0,2nd,34237.0,4018.0
REGION X,Bukidnon,Manolo Fortich,0.0,1st,91026.0,41360.0
REGION III,Pampanga,Santa Ana,0.0,3rd,52001.0,3984.0
REGION VIII,Northern Samar,Allen,0.0,5th,23738.0,4760.0
REGION IV-B,Oriental Mindoro,Calapan City,1.0,3rd Class ,"",25006.0
REGION XII,Sultan Kudarat,Lutayan,0.0,2nd,56179.0,27100.0
REGION X,Misamis Occidental,Lopez Jaena,0.0,4th,23767.0,9470.0
REGION IV-A,Cavite,Tagaytay City,1.0,2nd Class ,"",6500.0
REGION IV-A,Laguna,Pangil,0.0,4th,23201.0,4503.0
REGION IV-A,Rizal,Antipolo City,1.0,1st Class-Special,"",30610.0
REGION IX,Zamboanga Sibugay,Talusan,0.0,5th,25268.0,5816.0
REGION VII,Cebu,Asturias,0.0,3rd,44732.0,19045.0
REGION IV-A,Batangas,Lemery,0.0,1st,81825.0,10980.0
REGION IX,Zamboanga Sibugay,Kabasalan,0.0,2nd,41421.0,28920.0
REGION V,Camarines Sur,Iriga City,1.0,4th Class ,"",13735.0
REGION V,Albay,Santo Domingo,0.0,4th,32414.0,5122.0
REGION X,Lanao del Norte,Kauswagan,0.0,5th,24006.0,6037.0
REGION VI,Aklan,Banga,0.0,3rd,38063.0,8453.0
REGION VIII,Samar,Pagsanghan,0.0,5th,8024.0,3000.0
REGION II,Nueva Vizcaya,Solano,0.0,1st,56134.0,13980.0
REGION XI,Davao del Sur,Digos City,1.0,2nd Class ,"",28710.0
REGION V,Masbate,Dimasalang,0.0,4th,25245.0,14807.0
REGION VIII,Samar,Basey,0.0,1st,50423.0,51301.0
REGION VII,Cebu,Alegria,0.0,4th,22072.0,8949.0
REGION VII,Bohol,Jetafe,0.0,3rd,27788.0,12050.0
REGION II,Quirino,Cabarroguis,0.0,3rd,29395.0,26020.0
REGION IX,Zamboanga del Sur,Midsalip,0.0,4th,31467.0,16156.0
REGION IV-A,Cavite,Rosario,0.0,1st,92253.0,3816.0
REGION VI,Iloilo,Bingawan,0.0,5th,13432.0,8520.0
REGION I,La Union,Bangar,0.0,3rd,34522.0,3736.0
REGION II,Cagayan,Gonzaga,0.0,1st,36303.0,56743.0
REGION V,Camarines Sur,Balatan,0.0,4th,28699.0,9309.0
NIR,Negros Occidental,Cauayan,0.0,1st,96921.0,52000.0
REGION IV-A,Batangas,Tuy,0.0,3rd,40734.0,9465.0
REGION II,Batanes,Sabtang,0.0,6th,1637.0,4070.0
REGION VII,Bohol,Sagbayan,0.0,4th,20091.0,6961.0
REGION V,Camarines Sur,Lagonoy,0.0,2nd,51814.0,37790.0
REGION VII,Cebu,Mandaue City,1.0,1st Class-Special,"",2518.0
CAR,Abra,Manabo,0.0,5th,10756.0,11095.0
REGION I,Pangasinan,Agno,0.0,3rd,27508.0,16975.0
REGION VIII,Northern Samar,San Roque,0.0,4th,26323.0,15298.0
CAR,Apayao,Calanasan,0.0,1st,11568.0,125615.0
REGION IX,Zamboanga del Sur,Molave,0.0,1st,48939.0,25150.0
REGION III,Tarlac,Camiling,0.0,1st,80241.0,14053.0
REGION IV-A,Batangas,San Juan,0.0,1st,94291.0,27340.0
REGION I,La Union,Naguilian,0.0,1st,48407.0,10460.0
REGION VII,Cebu,Borbon,0.0,4th,31598.0,12094.0
REGION II,Cagayan,Baggao,0.0,1st,78188.0,92060.0
REGION XII,North Cotabato,President Roxas,0.0,1st,44229.0,61825.0
CAR,Mountain Province,Sabangan,0.0,5th,8741.0,7204.0
REGION I,Ilocos Sur,Santa Catalina,0.0,5th,13597.0,968.0
REGION V,Catanduanes,Virac,0.0,1st,66951.0,15240.0
REGION VI,Iloilo,Alimodian,0.0,3rd,37484.0,14482.0
REGION XII,South Cotabato,Tampakan,0.0,2nd,36254.0,39000.0
CAR,Benguet,Kabayan,0.0,4th,13588.0,24269.0
REGION VII,Cebu,Alcoy,0.0,5th,14757.0,6163.0
REGION VIII,Leyte,Dagami,0.0,3rd,31490.0,16165.0
REGION II,Isabela,Ramon,0.0,2nd,49812.0,13517.0
REGION I,La Union,Bagulin,0.0,5th,12590.0,10733.0
REGION IV-B,Marinduque,Buenavista,0.0,4th,23111.0,8125.0
REGION XIII,Surigao del Sur,Cantilan,0.0,2nd,30231.0,24010.0
ARMM,Lanao del Sur,Kapai,0.0,4th,17370.0,39850.0
NCR,Metropolitan Manila,Marikina,1.0,1st Class-Special,"",2152.0
ARMM,Basilan,Isabela City,1.0,4th Class ,"",22373.0
REGION VIII,Leyte,Barugo,0.0,4th,30092.0,8462.0
REGION IX,Zamboanga del Sur,Pagadian City,1.0,2nd Class ,"",37880.0
REGION I,Ilocos Sur,Alilem,0.0,4th,6640.0,11933.0
REGION III,Pampanga,Mabalacat,1.0,- ,"",8318.0
REGION III,Pampanga,Masantol,0.0,2nd,52407.0,4825.0
REGION VIII,Eastern Samar,Giporlos,0.0,5th,12040.0,9751.0
ARMM,Lanao del Sur,Madamba,0.0,4th,15542.0,22500.0
REGION IV-A,Rizal,San Mateo,0.0,1st,205255.0,5509.0
NCR,Metropolitan Manila,Valenzuela,1.0,1st Class-Special,"",4702.0
REGION IV-B,Palawan,Puerto Princesa City,1.0,1st Class-Special,"",238102.0
REGION III,Tarlac,Capas,0.0,1st,125852.0,37639.0
REGION III,Nueva Ecija,Rizal,0.0,2nd,57145.0,12055.0
REGION XIII,Surigao del Norte,Santa Monica,0.0,5th,8715.0,3919.0
OAV,ASIA,JAPAN,-1.0,"","",""
REGION IV-B,Occidental Mindoro,Santa Cruz,0.0,1st,34544.0,68140.0
REGION XIII,Agusan del Sur,Rosario,0.0,2nd,38280.0,38505.0
NIR,Negros Oriental,Vallehermoso,0.0,3rd,36943.0,10125.0
REGION VI,Iloilo,Santa Barbara,0.0,2nd,55472.0,13196.0
ARMM,Lanao del Sur,Saguiaran,0.0,4th,22673.0,5135.0
REGION II,Isabela,Alicia,0.0,1st,64687.0,15410.0
REGION IX,Zamboanga del Norte,Liloy,0.0,3rd,39015.0,12843.0
REGION III,Bulacan,Bocaue,0.0,1st,106407.0,3187.0
REGION V,Camarines Sur,Tinambac,0.0,1st,62435.0,35162.0
REGION I,Pangasinan,Dasol,0.0,3rd,26991.0,16660.0
REGION IV-B,Palawan,Roxas,0.0,1st,61058.0,117756.0
REGION VII,Cebu,Malabuyoc,0.0,5th,18426.0,6927.0
REGION XII,South Cotabato,Banga,0.0,1st,76343.0,24035.0
ARMM,Tawi-Tawi,Languyan,0.0,1st,42690.0,58120.0
REGION IV-A,Cavite,General Trias,1.0,1st Class-Special,"",8146.0
REGION XI,Davao del Sur,Davao City,1.0,1st Class-Special,"",244361.0
REGION VI,Iloilo,Badiangan,0.0,4th,26218.0,7750.0
CAR,Kalinga,Pinukpuk,0.0,1st,29596.0,74356.0
REGION IV-B,Oriental Mindoro,Puerto Galera,0.0,1st,32521.0,24785.0
REGION VIII,Leyte,Alangalang,0.0,2nd,46411.0,15054.0
OAV,MIDDLE EAST AND AFRICAS,KINGDOM OF SAUDI ARABIA,-1.0,"","",""
REGION VI,Iloilo,San Miguel,0.0,4th,25013.0,3197.0
REGION I,Ilocos Sur,Galimuyod,0.0,4th,10011.0,3440.0
REGION VIII,Eastern Samar,Dolores,0.0,5th,37912.0,30858.0
REGION II,Isabela,Roxas,0.0,1st,57699.0,18480.0
REGION IV-A,Quezon,Tagkawayan,0.0,1st,50833.0,53435.0
REGION VIII,Northern Samar,San Jose,0.0,5th,16079.0,2985.0
REGION III,Pampanga,Floridablanca,0.0,1st,110846.0,17548.0
REGION IV-A,Rizal,Pililla,0.0,1st,59527.0,6995.0
REGION V,Albay,Guinobatan,0.0,1st,75967.0,24443.0
ARMM,Sulu,Pangutaran,0.0,4th,28461.0,25810.0
REGION VIII,Samar,Tagapul-An,0.0,5th,7828.0,2870.0
REGION IV-A,Cavite,Mendez,0.0,4th,28570.0,4327.0
REGION XIII,Surigao del Sur,Hinatuan,0.0,2nd,38731.0,29910.0
REGION XII,South Cotabato,Lake Sebu,0.0,1st,76170.0,70200.0
REGION IV-B,Occidental Mindoro,Sablayan,0.0,1st,76153.0,218880.0
REGION XII,Sarangani,Kiamba,0.0,1st,54871.0,32868.0
REGION I,Pangasinan,Alaminos City,1.0,4th Class ,"",16426.0
REGION III,Bulacan,Guiguinto,0.0,1st,90507.0,2750.0
REGION X,Misamis Occidental,Aloran,0.0,4th,26630.0,11806.0
REGION IV-A,Cavite,Carmona,0.0,1st,74986.0,4024.0
REGION IV-A,Batangas,Taal,0.0,3rd,51503.0,2976.0
NIR,Negros Occidental,Isabela,0.0,2nd,59523.0,17876.0
REGION V,Camarines Sur,Calabanga,0.0,1st,78119.0,16380.0
REGION V,Sorsogon,Bulan,0.0,1st,93943.0,19696.0
ARMM,Maguindanao,Parang,0.0,1st,73328.0,85078.0
REGION VII,Bohol,Balilihan,0.0,4th,17147.0,12727.0
REGION I,Pangasinan,Binalonan,0.0,1st,52832.0,4757.0
NIR,Negros Oriental,Dauin,0.0,4th,25239.0,11410.0
REGION IX,Zamboanga del Sur,Tabina,0.0,4th,24110.0,8690.0
REGION IV-B,Oriental Mindoro,Bongabong,0.0,1st,66569.0,49820.0
ARMM,Tawi-Tawi,Bongao,0.0,2nd,79362.0,36595.0
REGION III,Nueva Ecija,San Jose City,1.0,3rd Class ,"",18599.0
REGION VII,Siquijor,Siquijor,0.0,4th,25231.0,9070.0
REGION V,Camarines Sur,Bula,0.0,2nd,68011.0,16764.0
ARMM,Tawi-Tawi,Simunul,0.0,4th,34538.0,16725.0
REGION V,Albay,Manito,0.0,4th,22819.0,10740.0
REGION XII,North Cotabato,Kabacan,0.0,1st,81282.0,44809.0
REGION I,Pangasinan,Balungao,0.0,4th,26678.0,7325.0
REGION II,Isabela,Delfin Albano,0.0,4th,25422.0,18900.0
REGION VII,Siquijor,San Juan,0.0,5th,13525.0,4437.0
REGION IV-B,Oriental Mindoro,Pola,0.0,3rd,32984.0,15934.0
REGION IV-A,Rizal,Tanay,0.0,1st,98879.0,20000.0
REGION V,Camarines Sur,Caramoan,0.0,2nd,44945.0,27600.0
CAR,Benguet,Kapangan,0.0,4th,20084.0,16439.0
REGION IX,Zamboanga del Norte,Kalawit,0.0,4th,22157.0,21789.0
REGION XI,Davao del Sur,Magsaysay,0.0,3rd,49141.0,26809.0
REGION II,Isabela,San Manuel,0.0,4th,30407.0,11277.0
REGION I,La Union,Rosario,0.0,1st,52679.0,7398.0
REGION X,Bukidnon,Kibawe,0.0,2nd,35767.0,30413.0
REGION VI,Iloilo,Tigbauan,0.0,2nd,58814.0,8368.0
REGION XIII,Dinagat Islands,Dinagat,0.0,5th,12786.0,13994.0
REGION VIII,Eastern Samar,Borongan City,1.0,- ,"",47500.0
REGION I,Ilocos Norte,Bacarra,0.0,3rd,31648.0,6532.0
NIR,Negros Occidental,Valladolid,0.0,4th,36416.0,4803.0
ARMM,Maguindanao,Sultan Kudarat,0.0,1st,82758.0,71291.0
REGION III,Bulacan,Calumpit,0.0,1st,101068.0,5625.0
NCR,Metropolitan Manila,Taguig,1.0,1st Class-Special,"",4521.0
REGION V,Masbate,Pio V. Corpuz,0.0,4th,23292.0,8933.0
ARMM,Tawi-Tawi,South Ubian,0.0,3rd,27741.0,27204.0
REGION IV-B,Oriental Mindoro,Baco,0.0,3rd,35060.0,21623.0
REGION V,Sorsogon,Magallanes,0.0,3rd,35443.0,15009.0
REGION I,Ilocos Sur,San Juan,0.0,3rd,25199.0,6437.0
REGION VI,Iloilo,Leon,0.0,2nd,47522.0,14020.0
REGION VIII,Samar,Hinabangan,0.0,4th,12651.0,46008.0
REGION I,Pangasinan,Aguilar,0.0,3rd,39529.0,19507.0
ARMM,Maguindanao,Guindulungan,0.0,-,16071.0,13068.0
REGION XII,North Cotabato,Arakan,0.0,2nd,43554.0,69322.0
REGION VIII,Southern Leyte,Hinundayan,0.0,5th,11890.0,5990.0
NCR,Metropolitan Manila,Pateros,0.0,1st,64147.0,1040.0
REGION X,Lanao del Norte,Pantar,0.0,5th,18440.0,7040.0
REGION IV-A,Laguna,Alaminos,0.0,3rd,43526.0,5746.0
ARMM,Lanao del Sur,Butig,0.0,6th,16642.0,33149.0
REGION IV-B,Oriental Mindoro,Bansud,0.0,2nd,38341.0,34347.0
REGION VI,Antique,Pandan,0.0,4th,32494.0,11398.0
REGION VIII,Eastern Samar,Oras,0.0,4th,34760.0,18870.0
REGION III,Nueva Ecija,Lupao,0.0,3rd,40931.0,12133.0
REGION VII,Siquijor,Larena,0.0,5th,12931.0,4981.0
REGION III,Nueva Ecija,Quezon,0.0,4th,36660.0,6853.0
REGION II,Nueva Vizcaya,Kayapa,0.0,3rd,21453.0,48290.0
REGION VI,Aklan,Ibajay,0.0,3rd,45279.0,15890.0
CAR,Abra,Peñarrubia,0.0,6th,6544.0,3829.0
REGION IV-B,Marinduque,Torrijos,0.0,3rd,29366.0,17892.0
REGION VI,Aklan,New Washington,0.0,3rd,42112.0,6669.0
REGION III,Nueva Ecija,Santa Rosa,0.0,1st,64503.0,14715.0
OAV,EUROPE,SPAIN,-1.0,"","",""
REGION X,Camiguin,Sagay,0.0,5th,11873.0,4413.0
REGION IV-B,Occidental Mindoro,Rizal,0.0,3rd,34458.0,24250.0
CAR,Abra,Danglas,0.0,5th,4734.0,15602.0
REGION II,Cagayan,Pamplona,0.0,4th,23236.0,17330.0
REGION X,Camiguin,Mambajao,0.0,3rd,36435.0,8900.0
REGION VIII,Leyte,Capoocan,0.0,4th,29834.0,18540.0
REGION II,Cagayan,Tuguegarao City,1.0,3rd Class ,"",14480.0
REGION XIII,Surigao del Sur,Marihatag,0.0,3rd,17926.0,31250.0
REGION VII,Cebu,Madridejos,0.0,4th,34905.0,2395.0
ARMM,Lanao del Sur,Bubong,0.0,2nd,19455.0,79850.0
REGION IV-B,Occidental Mindoro,Calintaan,0.0,3rd,28148.0,38250.0
ARMM,Maguindanao,Paglat,0.0,-,11207.0,17774.0
REGION VI,Capiz,Dao,0.0,4th,31911.0,8864.0
REGION VIII,Leyte,Kananga,0.0,1st,48027.0,14420.0
REGION XIII,Agusan del Norte,Nasipit,0.0,3rd,40663.0,14440.0
REGION IX,Zamboanga del Sur,Tukuran,0.0,4th,37883.0,14491.0
REGION II,Isabela,Aurora,0.0,3rd,33045.0,11556.0
REGION II,Cagayan,Alcala,0.0,3rd,37773.0,18720.0
REGION XIII,Surigao del Norte,San Benito,0.0,6th,5505.0,4563.0
REGION VIII,Leyte,Tunga,0.0,6th,6516.0,770.0
REGION V,Camarines Sur,Milaor,0.0,4th,28474.0,3364.0
OAV,MIDDLE EAST AND AFRICAS,STATE OF KUWAIT,-1.0,"","",""
NIR,Negros Occidental,Silay City,1.0,3rd Class ,"",21480.0
REGION VIII,Eastern Samar,Llorente,0.0,3rd,19101.0,49607.0
REGION IV-A,Batangas,Tanauan City,1.0,2nd Class ,"",10716.0
REGION X,Lanao del Norte,Sultan Naga Dimaporo,0.0,5th,52430.0,23099.0
REGION VII,Bohol,Inabanga,0.0,3rd,43291.0,12563.0
REGION VII,Cebu,Moalboal,0.0,4th,27676.0,12486.0
REGION VIII,Samar,Catbalogan City,1.0,5th Class ,"",27422.0
REGION XIII,Surigao del Sur,Bayabas,0.0,5th,7779.0,11784.0
REGION XI,Davao Oriental,Lupon,0.0,1st,61723.0,88639.0
REGION IX,Zamboanga del Sur,Margosatubig,0.0,3rd,35596.0,11169.0
NIR,Negros Oriental,Basay,0.0,4th,24913.0,16200.0
ARMM,Tawi-Tawi,Panglima Sugala,0.0,3rd,38704.0,41666.0
REGION IV-B,Palawan,Culion,0.0,3rd,19543.0,49959.0
REGION IV-A,Laguna,Lumban,0.0,3rd,29470.0,4053.0
ARMM,Maguindanao,Datu Anggal Midtimbang,0.0,-,13339.0,8543.0
CAR,Apayao,Conner,0.0,2nd,24811.0,69430.0
REGION X,Bukidnon,Pangantucan,0.0,1st,48775.0,46172.0
REGION IX,Zamboanga Sibugay,Titay,0.0,2nd,46456.0,35044.0
REGION VIII,Biliran,Caibiran,0.0,5th,21473.0,8355.0
REGION XII,North Cotabato,Makilala,0.0,1st,77508.0,34357.0
REGION XIII,Surigao del Norte,Tubod,0.0,5th,12569.0,4534.0
REGION I,Pangasinan,Tayug,0.0,3rd,40018.0,5124.0
REGION IV-A,Quezon,San Antonio,0.0,4th,31681.0,17293.0
REGION VI,Iloilo,Ajuy,0.0,2nd,47248.0,17557.0
REGION V,Sorsogon,Sorsogon City,1.0,3rd Class ,"",27611.0
REGION III,Nueva Ecija,Laur,0.0,3rd,32205.0,29588.0
REGION II,Isabela,Cabatuan,0.0,3rd,37299.0,7200.0
REGION VII,Bohol,Antequera,0.0,4th,14481.0,11860.0
CAR,Benguet,Atok,0.0,4th,19242.0,21499.0
REGION X,Lanao del Norte,Tagoloan,0.0,5th,11674.0,6970.0
REGION I,Ilocos Norte,Adams,0.0,5th,1785.0,15931.0
REGION I,Ilocos Norte,Badoc,0.0,3rd,30708.0,7668.0
REGION I,La Union,Bauang,0.0,1st,70735.0,7315.0
REGION IX,Zamboanga del Sur,Tigbao,0.0,5th,19300.0,12069.0
REGION X,Misamis Oriental,Alubijid,0.0,4th,26648.0,8556.0
REGION VI,Aklan,Tangalan,0.0,5th,20277.0,7459.0
REGION IV-A,Rizal,Cardona,0.0,3rd,47414.0,2856.0
REGION IV-A,Batangas,Alitagtag,0.0,4th,23649.0,2476.0
REGION VI,Aklan,Altavas,0.0,4th,23919.0,10905.0
REGION V,Albay,Rapu-Rapu,0.0,3rd,35875.0,15530.0
REGION III,Nueva Ecija,Talugtug,0.0,4th,21291.0,9395.0
REGION X,Misamis Oriental,Kinoguitan,0.0,5th,12761.0,4256.0
REGION IX,Zamboanga del Sur,Lakewood,0.0,4th,19645.0,20130.0
REGION XI,Davao del Sur,Sarangani,0.0,4th,23290.0,9772.0
REGION IX,Zamboanga del Sur,Dumalinao,0.0,4th,30691.0,11764.0
REGION VII,Bohol,Talibon,0.0,1st,61373.0,14046.0
REGION IV-A,Rizal,Angono,0.0,1st,102407.0,2622.0
ARMM,Sulu,Indanan,0.0,3rd,65858.0,17072.0
REGION XI,Compostela Valley,Pantukan,0.0,1st,79067.0,53311.0
REGION V,Masbate,Mobo,0.0,4th,34896.0,14347.0
REGION VI,Iloilo,Dingle,0.0,3rd,43290.0,9837.0
REGION VIII,Leyte,La Paz,0.0,5th,19133.0,7270.0
REGION VIII,Samar,San Jorge,0.0,4th,16340.0,24120.0
REGION VI,Guimaras,Jordan,0.0,3rd,34791.0,12611.0
CAR,Kalinga,Tinglayan,0.0,4th,12557.0,28300.0
REGION V,Masbate,Milagros,0.0,1st,52619.0,56530.0
CAR,Ifugao,Alfonso Lista,0.0,3rd,28410.0,34746.0
REGION IV-B,Palawan,Bataraza,0.0,1st,63644.0,72620.0
REGION VI,Aklan,Numancia,0.0,4th,29862.0,2884.0
ARMM,Maguindanao,Datu Abdullah Sanki,0.0,-,15062.0,15062.0
REGION II,Nueva Vizcaya,Villaverde,0.0,5th,17720.0,8150.0
REGION IV-A,Quezon,Sariaya,0.0,1st,138894.0,21216.0
REGION XI,Davao del Norte,Tagum City,1.0,1st Class-Special,"",19580.0
REGION XII,South Cotabato,General Santos City,1.0,1st Class-Special,"",49286.0
REGION VII,Cebu,Poro,0.0,4th,23498.0,6359.0
ARMM,Sulu,Luuk,0.0,3rd,29897.0,31304.0
REGION I,Ilocos Sur,Lidlidda,0.0,5th,4398.0,3384.0
REGION V,Camarines Norte,Capalonga,0.0,3rd,31299.0,29000.0
REGION III,Aurora,Casiguran,0.0,2nd,23865.0,71543.0
REGION XIII,Agusan del Norte,Butuan City,1.0,1st Class-Special,"",81662.0
REGION V,Camarines Sur,San Fernando,0.0,4th,33281.0,7176.0
REGION II,Nueva Vizcaya,Santa Fe,0.0,3rd,14427.0,39981.0
REGION VII,Cebu,Ginatilan,0.0,5th,15327.0,7010.0
REGION III,Tarlac,Victoria,0.0,2nd,59987.0,11151.0
REGION III,Pampanga,Sasmuan,0.0,4th,27254.0,9180.0
REGION I,Ilocos Norte,Pinili,0.0,3rd,16732.0,8948.0
REGION XII,South Cotabato,Tantangan,0.0,3rd,40461.0,11310.0
REGION XIII,Surigao del Norte,Gigaquit,0.0,4th,18784.0,13811.0
REGION X,Bukidnon,Sumilao,0.0,4th,25668.0,19695.0
REGION VII,Siquijor,Lazi,0.0,4th,20024.0,7064.0
REGION IV-A,Quezon,Buenavista,0.0,4th,29053.0,16135.0
REGION XIII,Surigao del Norte,San Isidro,0.0,5th,6973.0,4203.0
REGION III,Bulacan,Hagonoy,0.0,1st,125689.0,10310.0
REGION VIII,Southern Leyte,San Ricardo,0.0,5th,10078.0,4756.0
REGION X,Misamis Oriental,Opol,0.0,2nd,52108.0,17513.0
REGION IV-B,Romblon,Looc,0.0,4th,21841.0,13282.0
REGION VIII,Leyte,Bato,0.0,4th,35610.0,7245.0
REGION VI,Capiz,Dumarao,0.0,2nd,43986.0,23256.0
REGION VIII,Northern Samar,San Antonio,0.0,5th,8877.0,2700.0
REGION VIII,Eastern Samar,Maydolong,0.0,4th,13614.0,39963.0
REGION IV-B,Occidental Mindoro,Looc,0.0,5th,9758.0,13230.0
REGION VII,Bohol,Baclayon,0.0,4th,18630.0,3443.0
REGION VI,Antique,Valderrama,0.0,4th,18442.0,27379.0
REGION XIII,Agusan del Sur,Trento,0.0,1st,47193.0,55570.0
REGION VIII,Southern Leyte,Malitbog,0.0,4th,22009.0,7497.0
REGION XIII,Surigao del Sur,Barobo,0.0,3rd,43663.0,24250.0
REGION X,Misamis Oriental,Tagoloan,0.0,1st,63850.0,11773.0
REGION XI,Davao del Sur,Malalag,0.0,2nd,35295.0,18612.0
REGION I,Ilocos Sur,Banayoyo,0.0,4th,7694.0,2463.0
REGION V,Camarines Sur,Libmanan,0.0,1st,100002.0,34282.0
REGION V,Camarines Sur,Minalabac,0.0,3rd,48162.0,12610.0
REGION VIII,Eastern Samar,Lawaan,0.0,5th,11612.0,16256.0
REGION VI,Iloilo,Passi City,1.0,4th Class ,"",25139.0
CAR,Mountain Province,Barlig,0.0,5th,5838.0,22864.0
REGION VII,Cebu,Bantayan,0.0,1st,74785.0,8168.0
REGION IV-B,Romblon,Banton,0.0,5th,5963.0,3248.0
REGION VIII,Leyte,Mayorga,0.0,5th,14694.0,4217.0
REGION X,Lanao del Norte,Pantao Ragat,0.0,4th,23122.0,12430.0
REGION VII,Cebu,Aloguinsan,0.0,4th,27650.0,6192.0
ARMM,Lanao del Sur,Tamparan,0.0,5th,22367.0,17000.0
REGION III,Pampanga,Minalin,0.0,4th,44001.0,4827.0
REGION III,Tarlac,Pura,0.0,4th,22949.0,3101.0
REGION II,Isabela,Cordon,0.0,3rd,40877.0,14400.0
REGION III,Nueva Ecija,Llanera,0.0,4th,36200.0,11444.0
